,EXG Channel 0
852,300.74779483675957
853,378.1786835193634
854,404.98628640174866
855,358.910718947649
856,377.34094592928886
857,421.9803918004036
858,385.83799862861633
859,350.41366624832153
860,371.23742920160294
861,396.4892337024212
862,333.7785912454128
863,396.24988010525703
864,384.28220024704933
865,309.24484753608704
866,381.05092668533325
867,416.8342894613743
868,396.8482640981674
869,351.6104342341423
870,376.024501144886
871,384.0428466498852
872,313.43353548645973
873,382.9657554626465
874,421.022977411747
875,356.63685977458954
876,334.4966520369053
877,420.7836238145828
878,370.3996916115284
879,361.5436085164547
880,410.85044953227043
881,374.34902596473694
882,324.4438009560108
883,401.5156592428684
884,418.03105744719505
885,346.70368549227715
886,344.7888567149639
887,428.2035853266716
888,363.0994068980217
889,288.42108458280563
890,389.7873329818249
891,402.5927504301071
892,312.1170907020569
893,365.7322964668274
894,416.59493586421013
895,350.6530198454857
896,323.9650937616825
897,399.1221232712269
898,360.22716373205185
899,354.1236470043659
900,403.3108112215996
901,379.49512830376625
902,326.95701372623444
903,364.1764980852604
904,378.0590067207813
905,327.794751316309
906,346.3446550965309
907,400.43856805562973
908,354.48267740011215
909,352.2088182270527
910,378.2983603179455
911,392.53989934921265
912,376.5032083392143
913,397.80567848682404
914,310.20226192474365
915,344.4298263192177
916,429.2806765139103
917,349.4562518596649
918,311.5187067091465
919,393.01860654354095
920,380.57221949100494
921,317.02383944392204
922,351.7301110327244
923,392.3005457520485
924,352.2088182270527
925,380.8115730881691
926,415.99655187129974
927,353.40558621287346
928,313.91224268078804
929,379.2557747066021
930,354.8417077958584
931,337.72792559862137
932,367.04874125123024
933,422.1000685989857
934,298.1149052679539
935,321.4518809914589
936,436.70063802599907
937,386.6757362186909
938,296.798460483551
939,400.43856805562973
940,395.7711729109287
941,313.1941818892956
942,366.45035725831985
943,410.4914191365242
944,332.3424696624279
945,337.9672791957855
946,396.8482640981674
947,373.0325811803341
948,340.241138368845
949,394.69408172369003
950,358.4320117533207
951,324.5634777545929
952,368.8438932299614
953,396.9679408967495
954,332.46214646101
955,354.8417077958584
956,397.3269712924957
957,357.9533045589924
958,331.02602487802505
959,392.3005457520485
960,381.64931067824364
961,316.42545545101166
962,365.37326607108116
963,417.6720270514488
964,313.31385868787766
965,337.6082488000393
966,395.8908497095108
967,357.2352437674999
968,332.10311606526375
969,398.4040624797344
970,357.9533045589924
971,320.01575940847397
972,358.910718947649
973,387.5134738087654
974,341.91661354899406
975,344.07079592347145
976,402.95178082585335
977,339.28372398018837
978,324.0847705602646
979,376.1441779434681
980,362.1419925093651
981,335.573743224144
982,392.8989297449589
983,420.4245934188366
984,362.022315710783
985,328.03410491347313
986,389.42830258607864
987,383.3247858583927
988,304.8168059885502
989,363.81746768951416
990,386.5560594201088
991,288.89979177713394
992,411.80786392092705
993,437.41869881749153
994,336.77051120996475
995,334.73600563406944
996,431.07582849264145
997,353.0465558171272
998,332.58182325959206
999,397.80567848682404
1000,413.36366230249405
1001,328.1537817120552
1002,378.41803711652756
1003,379.97383549809456
1004,342.8740279376507
1005,347.5414230823517
1006,452.7373290359974
1007,379.8541586995125
1008,327.31604412198067
1009,378.0590067207813
1010,361.6632853150368
1011,307.3300187587738
1012,379.01642110943794
1013,390.86442416906357
1014,311.27935311198235
1015,377.2212691307068
1016,407.02079197764397
1017,356.03847578167915
1018,335.21471282839775
1019,403.1911344230175
1020,384.76090744137764
1021,292.8491261303425
1022,366.8093876540661
1023,431.67421248555183
1024,350.6530198454857
1025,322.5289721786976
1026,400.91727524995804
1027,352.44817182421684
1028,323.12735617160797
1029,374.1096723675728
1030,356.51718297600746
1031,401.6353360414505
1032,390.6250705718994
1033,405.10596320033073
1034,327.31604412198067
1035,308.04807955026627
1036,440.7696491777897
1037,371.4767827987671
1038,339.28372398018837
1039,416.2359054684639
1040,353.0465558171272
1041,308.8858171403408
1042,391.3431313633919
1043,412.88495510816574
1044,335.4540664255619
1045,338.92469358444214
1046,434.5464556515217
1047,370.2800148129463
1048,336.5311576128006
1049,367.04874125123024
1050,391.8218385577202
1051,306.49228116869926
1052,380.45254269242287
1053,401.1566288471222
1054,327.0766905248165
1055,354.3630006015301
1056,396.9679408967495
1057,351.2514038383961
1058,317.6222234368324
1059,420.3049166202545
1060,377.93932992219925
1061,321.09285059571266
1062,362.86005330085754
1063,383.08543226122856
1064,359.62877973914146
1065,358.7910421490669
1066,403.7895184159279
1067,377.1015923321247
1068,356.63685977458954
1069,410.13238874077797
1070,356.03847578167915
1071,320.01575940847397
1072,370.9980756044388
1073,388.5905649960041
1074,320.13543620705605
1075,359.15007254481316
1076,434.66613245010376
1077,369.3226004242897
1078,323.9650937616825
1079,391.58248496055603
1080,398.76309287548065
1081,288.5407613813877
1082,386.79541301727295
1083,411.20947992801666
1084,337.9672791957855
1085,322.28961858153343
1086,437.5383756160736
1087,365.2535892724991
1088,311.27935311198235
1089,395.05311211943626
1090,368.9635700285435
1091,337.36889520287514
1092,332.10311606526375
1093,431.1955052912235
1094,333.18020725250244
1095,331.3850552737713
1096,435.26451644301414
1097,401.39598244428635
1098,330.54731768369675
1099,402.47307363152504
1100,383.68381625413895
1101,313.79256588220596
1102,394.2153745293617
1103,380.2131890952587
1104,334.61632883548737
1105,360.466517329216
1106,390.7447473704815
1107,335.4540664255619
1108,344.7888567149639
1109,418.50976464152336
1110,364.1764980852604
1111,319.8960826098919
1112,416.8342894613743
1113,329.58990329504013
1114,361.30425491929054
1115,387.39379701018333
1116,361.9026389122009
1117,317.6222234368324
1118,382.12801787257195
1119,392.7792529463768
1120,301.94456282258034
1121,380.57221949100494
1122,417.55235025286674
1123,336.29180401563644
1124,335.573743224144
1125,402.35339683294296
1126,356.7565365731716
1127,321.8109113872051
1128,389.42830258607864
1129,416.59493586421013
1130,293.08847972750664
1131,351.131727039814
1132,419.3475022315979
1133,355.6794453859329
1134,359.26974934339523
1135,398.4040624797344
1136,352.5678486227989
1137,334.25729843974113
1138,429.04132291674614
1139,403.3108112215996
1140,330.54731768369675
1141,356.63685977458954
1142,399.4811536669731
1143,325.9995993375778
1144,392.6595761477947
1145,432.7513036727905
1146,419.8262094259262
1147,333.2998840510845
1148,354.1236470043659
1149,415.87687507271767
1150,342.2756439447403
1151,320.13543620705605
1152,406.3027311861515
1153,397.4466480910778
1154,325.5208921432495
1155,379.6148051023483
1156,411.80786392092705
1157,330.906348079443
1158,329.58990329504013
1159,418.15073424577713
1160,347.18239268660545
1161,333.65891444683075
1162,389.90700978040695
1163,404.02887201309204
1164,313.91224268078804
1165,355.55976858735085
1166,383.56413945555687
1167,342.03629034757614
1168,332.2227928638458
1169,423.4165133833885
1170,403.3108112215996
1171,334.73600563406944
1172,424.4936045706272
1173,358.4320117533207
1174,304.45777559280396
1175,368.00615563988686
1176,407.9782063663006
1177,320.4944666028023
1178,325.1618617475033
1179,401.6353360414505
1180,345.14788711071014
1181,316.42545545101166
1182,350.5333430469036
1183,372.0751667916775
1184,324.80283135175705
1185,381.64931067824364
1186,398.16470888257027
1187,319.65672901272774
1188,325.76024574041367
1189,393.7366673350334
1190,346.22497829794884
1191,339.5230775773525
1192,400.6779216527939
1193,393.97602093219757
1194,291.41300454735756
1195,390.02668657898903
1196,412.1668943166733
1197,317.7419002354145
1198,331.62440887093544
1199,431.1955052912235
1200,374.82773315906525
1201,333.4195608496666
1202,394.9334353208542
1203,395.17278891801834
1204,309.9629083275795
1205,357.59427416324615
1206,404.6272560060024
1207,358.07298135757446
1208,321.9305881857872
1209,415.87687507271767
1210,365.7322964668274
1211,325.40121534466743
1212,390.2660401761532
1213,376.6228851377964
1214,354.7220309972763
1215,440.88932597637177
1216,365.97165006399155
1217,322.0502649843693
1218,387.5134738087654
1219,403.7895184159279
1220,309.9629083275795
1221,374.9474099576473
1222,418.3900878429413
1223,336.4114808142185
1224,356.51718297600746
1225,432.9906572699547
1226,390.2660401761532
1227,328.03410491347313
1228,339.1640471816063
1229,398.6434160768986
1230,354.8417077958584
1231,334.25729843974113
1232,388.2315346002579
1233,373.75064197182655
1234,326.1192761361599
1235,390.86442416906357
1236,387.75282740592957
1237,321.21252739429474
1238,345.5069175064564
1239,419.9458862245083
1240,334.25729843974113
1241,314.6303034722805
1242,403.0714576244354
1243,406.1830543875694
1244,331.50473207235336
1245,398.0450320839882
1246,406.54208478331566
1247,315.1090106666088
1248,340.36081516742706
1249,422.81812939047813
1250,351.7301110327244
1251,347.4217462837696
1252,404.98628640174866
1253,352.2088182270527
1254,334.8556824326515
1255,376.38353154063225
1256,427.1264941394329
1257,340.00178477168083
1258,312.9548282921314
1259,391.94151535630226
1260,379.8541586995125
1261,328.7521657049656
1262,393.7366673350334
1263,380.09351229667664
1264,320.73382019996643
1265,358.19265815615654
1266,379.7344819009304
1267,306.61195796728134
1268,317.98125383257866
1269,392.06119215488434
1270,331.62440887093544
1271,297.0378140807152
1272,367.8864788413048
1273,341.6772599518299
1274,279.2059710919857
1275,387.27412021160126
1276,387.1544434130192
1277,306.61195796728134
1278,326.35862973332405
1279,406.9011151790619
1280,338.44598639011383
1281,320.73382019996643
1282,358.3123349547386
1283,349.69560545682907
1284,313.1941818892956
1285,365.85197326540947
1286,351.7301110327244
1287,299.910057246685
1288,343.7117655277252
1289,399.36147686839104
1290,354.00397020578384
1291,317.98125383257866
1292,405.10596320033073
1293,346.9430390894413
1294,305.8938971757889
1295,378.53771391510963
1296,308.8858171403408
1297,322.16994178295135
1298,421.26233100891113
1299,310.80064591765404
1300,267.238291233778
1301,354.8417077958584
1302,379.97383549809456
1303,323.9650937616825
1304,372.912904381752
1305,370.2800148129463
1306,304.0987451970577
1307,305.7742203772068
1308,397.20729449391365
1309,352.32849502563477
1310,305.53486678004265
1311,389.30862578749657
1312,378.1786835193634
1313,327.91442811489105
1314,332.70150005817413
1315,363.2190836966038
1316,271.06794878840446
1317,350.5333430469036
1318,423.29683658480644
1319,340.36081516742706
1320,299.19199645519257
1321,390.02668657898903
1322,378.0590067207813
1323,304.45777559280396
1324,355.08106139302254
1325,399.72050726413727
1326,312.83515149354935
1327,365.2535892724991
1328,416.355582267046
1329,345.9856247007847
1330,316.0664250552654
1331,366.57003405690193
1332,367.8864788413048
1333,295.8410460948944
1334,346.10530149936676
1335,380.57221949100494
1336,306.13325077295303
1337,340.7198455631733
1338,402.47307363152504
1339,339.5230775773525
1340,297.75587487220764
1341,401.5156592428684
1342,378.0590067207813
1343,315.94674825668335
1344,371.4767827987671
1345,385.23961463570595
1346,317.3828698396683
1347,325.9995993375778
1348,383.56413945555687
1349,369.801307618618
1350,321.9305881857872
1351,396.72858729958534
1352,393.01860654354095
1353,290.45559015870094
1354,354.96138459444046
1355,373.0325811803341
1356,286.0275486111641
1357,326.4783065319061
1358,418.3900878429413
1359,328.99151930212975
1360,305.8938971757889
1361,408.09788316488266
1362,378.7770675122738
1363,275.25663673877716
