EXG Channel 0,EXG Channel 1,Timestamp,Timestamp (Formatted)
 -701.5453932881355, 512.695405125618, 1.7380995092092977E9, 2025-01-28 13:25:09.209
 -516.7644162774086, 702.5028076767921, 1.7380995092095296E9, 2025-01-28 13:25:09.209
 -621.3619382381439, 600.5381752848625, 1.7380995092095687E9, 2025-01-28 13:25:09.209
 -743.9109799861908, 478.2284871339798, 1.738099509210326E9, 2025-01-28 13:25:09.210
 -588.0917882323265, 630.2180213332176, 1.738099509210361E9, 2025-01-28 13:25:09.210
 -547.6410303115845, 682.6364591121674, 1.7380995092989748E9, 2025-01-28 13:25:09.298
 -766.1708645224571, 461.9524425268173, 1.7380995092990756E9, 2025-01-28 13:25:09.299
 -649.8450163006783, 584.7408378720284, 1.7380995092993658E9, 2025-01-28 13:25:09.299
 -520.1153666377068, 711.59824436903, 1.7380995092994063E9, 2025-01-28 13:25:09.299
 -694.1254317760468, 544.7687871456146, 1.738099509300243E9, 2025-01-28 13:25:09.300
 -730.9858857393265, 517.2431234717369, 1.738099509300295E9, 2025-01-28 13:25:09.300
 -538.5455936193466, 706.3324652314186, 1.7380995093007195E9, 2025-01-28 13:25:09.300
 -624.4735350012779, 623.7554742097855, 1.73809950930081E9, 2025-01-28 13:25:09.300
 -762.5805605649948, 492.8290565609932, 1.7380995093014731E9, 2025-01-28 13:25:09.301
 -588.3311418294907, 670.9081328511238, 1.7380995093015325E9, 2025-01-28 13:25:09.301
 -548.5984447002411, 700.3486253023148, 1.7380995093026016E9, 2025-01-28 13:25:09.302
 -767.1282789111137, 494.5045317411423, 1.738099509302649E9, 2025-01-28 13:25:09.302
 -753.9638310670853, 510.5412227511406, 1.7380995093289928E9, 2025-01-28 13:25:09.328
 -573.9699259996414, 686.705470263958, 1.738099509329048E9, 2025-01-28 13:25:09.329
 -551.2313342690468, 705.375050842762, 1.7380995093293319E9, 2025-01-28 13:25:09.329
 -754.6818918585777, 507.66897958517075, 1.738099509329363E9, 2025-01-28 13:25:09.329
 -658.2223922014236, 601.0168824791908, 1.738099509330646E9, 2025-01-28 13:25:09.330
 -536.6307648420334, 723.3265706300735, 1.738099509330705E9, 2025-01-28 13:25:09.330
 -710.4014763832092, 548.3590911030769, 1.738099509359336E9, 2025-01-28 13:25:09.359
 -731.7039465308189, 530.4075713157654, 1.738099509359382E9, 2025-01-28 13:25:09.359
 -545.2474943399429, 727.3955817818642, 1.738099509359933E9, 2025-01-28 13:25:09.359
 -643.6218227744102, 627.5851317644119, 1.7380995093599842E9, 2025-01-28 13:25:09.359
 -783.1649699211121, 490.43552058935165, 1.738099509360508E9, 2025-01-28 13:25:09.360
 -619.4471094608307, 663.0094641447067, 1.738099509360556E9, 2025-01-28 13:25:09.360
 -564.3957821130753, 700.8273324966431, 1.7380995093890665E9, 2025-01-28 13:25:09.389
 -781.489494740963, 492.11099576950073, 1.7380995093891127E9, 2025-01-28 13:25:09.389
 -674.0197296142578, 601.4955896735191, 1.7380995093895087E9, 2025-01-28 13:25:09.389
 -537.1094720363617, 741.2780904173851, 1.7380995093895564E9, 2025-01-28 13:25:09.389
 -709.4440619945526, 561.7628925442696, 1.738099509390556E9, 2025-01-28 13:25:09.390
 -750.1341735124588, 521.0727810263634, 1.7380995093906033E9, 2025-01-28 13:25:09.390
 -553.3855166435242, 717.3427307009697, 1.738099509419258E9, 2025-01-28 13:25:09.419
 -637.3986292481422, 636.6805684566498, 1.7380995094193203E9, 2025-01-28 13:25:09.419
 -761.383792579174, 513.6528195142746, 1.7380995094197097E9, 2025-01-28 13:25:09.419
 -594.7936889529228, 678.3280943632126, 1.7380995094197571E9, 2025-01-28 13:25:09.419
 -571.0976828336716, 705.375050842762, 1.738099509420683E9, 2025-01-28 13:25:09.420
 -756.3573670387268, 519.6366594433784, 1.7380995094207563E9, 2025-01-28 13:25:09.420
 -681.2003375291824, 597.6659321188927, 1.738099509449194E9, 2025-01-28 13:25:09.449
 -540.9391295909882, 730.0284713506699, 1.7380995094492483E9, 2025-01-28 13:25:09.449
 -705.6144044399261, 563.6777213215828, 1.7380995094496531E9, 2025-01-28 13:25:09.449
 -746.3045159578323, 521.3121346235275, 1.7380995094497051E9, 2025-01-28 13:25:09.449
 -564.1564285159111, 704.1782828569412, 1.7380995094503696E9, 2025-01-28 13:25:09.450
 -651.7598450779915, 620.8832310438156, 1.7380995094504097E9, 2025-01-28 13:25:09.450
 -777.6598371863365, 498.81289649009705, 1.7380995094791253E9, 2025-01-28 13:25:09.479
 -611.5484407544136, 667.3178288936615, 1.7380995094791653E9, 2025-01-28 13:25:09.479
 -575.6454011797905, 691.4925422072411, 1.738099509479556E9, 2025-01-28 13:25:09.479
 -803.7493792772293, 471.5265864133835, 1.7380995094796004E9, 2025-01-28 13:25:09.479
 -723.5659242272377, 556.0184062123299, 1.7380995094805536E9, 2025-01-28 13:25:09.480
 -569.6615612506866, 707.0505260229111, 1.7380995094805899E9, 2025-01-28 13:25:09.480
 -731.9433001279831, 540.699775993824, 1.7380995095090473E9, 2025-01-28 13:25:09.509
 -778.377897977829, 504.55738282203674, 1.7380995095091608E9, 2025-01-28 13:25:09.509
 -574.927340388298, 703.4602220654488, 1.7380995095094244E9, 2025-01-28 13:25:09.509
 -658.2223922014236, 618.7290486693382, 1.7380995095094707E9, 2025-01-28 13:25:09.509
 -801.8345504999161, 477.2710727453232, 1.7380995095105343E9, 2025-01-28 13:25:09.510
 -634.5263860821724, 647.930187523365, 1.738099509510599E9, 2025-01-28 13:25:09.510
 -594.5543353557587, 686.4661166667938, 1.738099509539978E9, 2025-01-28 13:25:09.539
 -790.3455778360367, 495.22259253263474, 1.7380995095400429E9, 2025-01-28 13:25:09.540
 -688.380945444107, 603.6497720479965, 1.7380995095404773E9, 2025-01-28 13:25:09.540
 -562.7203069329262, 733.379421710968, 1.7380995095405335E9, 2025-01-28 13:25:09.540
 -733.8581289052963, 551.2313342690468, 1.7380995095416658E9, 2025-01-28 13:25:09.541
 -787.9520418643951, 504.07867562770844, 1.7380995095418284E9, 2025-01-28 13:25:09.541
 -566.3106108903885, 716.3853163123131, 1.7380995095691257E9, 2025-01-28 13:25:09.569
 -662.5307569503784, 633.0902644991875, 1.7380995095691752E9, 2025-01-28 13:25:09.569
 -785.7978594899178, 505.99350440502167, 1.738099509569442E9, 2025-01-28 13:25:09.569
 -643.6218227744102, 646.7334195375443, 1.73809950956947E9, 2025-01-28 13:25:09.569
 -585.9376058578491, 698.4337965250015, 1.7380995095702512E9, 2025-01-28 13:25:09.570
 -795.3720033764839, 492.3503493666649, 1.7380995095702877E9, 2025-01-28 13:25:09.570
 -705.1356972455978, 580.4324731230736, 1.7380995095990627E9, 2025-01-28 13:25:09.599
 -559.369356572628, 725.2413994073868, 1.738099509599122E9, 2025-01-28 13:25:09.599
 -742.71421200037, 545.9655551314354, 1.73809950959944E9, 2025-01-28 13:25:09.599
 -770.718582868576, 515.3282946944237, 1.7380995095994763E9, 2025-01-28 13:25:09.599
 -564.8744893074036, 727.1562281847, 1.73809950960043E9, 2025-01-28 13:25:09.600
 -658.4617457985878, 626.6277173757553, 1.738099509600464E9, 2025-01-28 13:25:09.600
 -782.6862627267838, 497.3767749071121, 1.7380995096292589E9, 2025-01-28 13:25:09.629
 -616.814219892025, 667.5571824908257, 1.7380995096293032E9, 2025-01-28 13:25:09.629
 -580.1931195259094, 701.0666860938072, 1.7380995096591504E9, 2025-01-28 13:25:09.659
 -775.7450084090233, 501.2064324617386, 1.7380995096592212E9, 2025-01-28 13:25:09.659
 -689.0990062355995, 595.5117497444153, 1.7380995096596744E9, 2025-01-28 13:25:09.659
 -556.9758206009865, 721.6510954499245, 1.7380995096598167E9, 2025-01-28 13:25:09.659
 -720.933034658432, 557.6938813924789, 1.738099509660257E9, 2025-01-28 13:25:09.660
 -763.2986213564873, 515.3282946944237, 1.7380995096603093E9, 2025-01-28 13:25:09.660
 -578.9963515400887, 699.151857316494, 1.7380995096614752E9, 2025-01-28 13:25:09.661
 -651.5204914808273, 629.9786677360535, 1.738099509661547E9, 2025-01-28 13:25:09.661
 -795.8507105708122, 491.1535813808441, 1.7380995096620088E9, 2025-01-28 13:25:09.662
 -625.1915957927704, 657.5043314099312, 1.738099509662054E9, 2025-01-28 13:25:09.662
 -573.4912188053131, 706.8111724257469, 1.7380995096888945E9, 2025-01-28 13:25:09.688
 -781.7288483381271, 498.81289649009705, 1.7380995096889396E9, 2025-01-28 13:25:09.688
 -692.928663790226, 590.7246778011322, 1.7380995096894093E9, 2025-01-28 13:25:09.689
 -569.6615612506866, 708.486647605896, 1.7380995096894495E9, 2025-01-28 13:25:09.689
 -742.2355048060417, 539.2636544108391, 1.738099509690414E9, 2025-01-28 13:25:09.690
 -750.8522343039513, 534.9552896618843, 1.738099509690445E9, 2025-01-28 13:25:09.690
 -574.2092795968056, 713.5130731463432, 1.7380995097189548E9, 2025-01-28 13:25:09.718
 -675.4558511972427, 612.5058551430702, 1.738099509719006E9, 2025-01-28 13:25:09.719
 -822.1796062588692, 462.90985691547394, 1.738099509719512E9, 2025-01-28 13:25:09.719
 -634.2870324850082, 658.9404529929161, 1.738099509719561E9, 2025-01-28 13:25:09.719
 -599.5807608962059, 684.7906414866447, 1.7380995097204597E9, 2025-01-28 13:25:09.720
 -794.6539425849915, 488.5206918120384, 1.7380995097205057E9, 2025-01-28 13:25:09.720
 -712.5556587576866, 574.4486331939697, 1.7380995097791245E9, 2025-01-28 13:25:09.779
 -560.0874173641205, 724.044631421566, 1.7380995097791758E9, 2025-01-28 13:25:09.779
 -730.0284713506699, 553.6248702406883, 1.7380995097796147E9, 2025-01-28 13:25:09.779
 -775.9843620061874, 517.7218306660652, 1.7380995097796867E9, 2025-01-28 13:25:09.779
